suites;device_type;operating_system;application;browser
0xc014,0xc00a,0x0039,0x0038,0xc00f,0xc005,0x0035;Mobile;Android;Browser;Safari
0xc014,0xc00a,0x0039,0xc013,0xc009,0x0033,0xc011;Mobile;Android;;
0xc014,0xc013,0x0035,0x002f,0x000a,0x0005,0x0004;;;Crawler;
0xc014,0xc013,0xc00a,0xc009,0x0035,0x002f,0x0038;Mobile;iOS;;
0xc021,0x009f,0x006b,0x0039,0x009d,0x003d,0x0035;;;Application;
0xc022,0xc021,0x0039,0x0038,0x0088,0x0087,0x0035;Desktop;Linux;Browser;Firefox
0xc022,0xc021,0x00a3,0x009f,0x006b,0x006a,0x0039;;;Application;
0xc028,0x009f,0x009e,0x009d,0x009c,0xc02b,0xc023;Desktop;Windows;;
0xc028,0xc014,0xc027,0xc013,0xc02c,0xc02b,0xc024;;;Update;
0xc02b,0xc009,0xc023,0xc02c,0xc00a,0xc024,0xc008;;;Application;
0xc02b,0xc02c,0xc009,0xc023,0xc00a,0xc024,0xc008;Desktop;Linux;;
0xc02b,0xc02c,0xc02f,0xc030,0x009e,0x009f,0xc009;Mobile;Android;;
0xc02b,0xc02c,0xc086,0xc087,0xc009,0xc023,0xc00a;Desktop;Linux;Application;
0xc02b,0xc02f,0x009e,0x009c,0xc00a,0xc014,0x0039;;;Browser;
0xc02b,0xc02f,0x009e,0x009c,0xc00a,0xc014,0x0039;;;Browser;
0xc02b,0xc02f,0x009e,0xc00a,0xc009,0xc013,0xc014;Desktop;;Browser;Chrome
0xc02b,0xc02f,0x009e,0xc00a,0xc009,0xc023,0xc02c;Desktop;Windows;;
0xc02b,0xc02f,0x009e,0xcc14,0xcc13,0x009c,0xc00a;;;Browser;Chrome
0xc02b,0xc02f,0x009e,0xcc14,0xcc13,0xc00a,0xc009;;;Browser;Chrome
0xc02b,0xc02f,0x009e,0xcc14,0xcc13,0xcc15,0xc00a;;;Crawler;
0xc02b,0xc02f,0xc00a,0xc009,0xc013,0xc014,0xc007;;;Browser;Firefox
0xc02b,0xc02f,0xc00a,0xc009,0xc013,0xc014,0xc012;;;Browser;Firefox
0xc02b,0xc02f,0xc00a,0xc009,0xc013,0xc027,0xc014;Desktop;Linux;Application;
0xc02f,0xc02b,0x009e,0xcc14,0xcc13,0xcc15,0xc014;Desktop;Mac OS X;Browser;Chrome
0xc02f,0xc02b,0xc011,0xc007,0xc013,0xc009,0xc014;Desktop;Windows;Browser;Chrome
0xc02f,0xc02b,0xc027,0xc023,0xc013,0xc009,0x009c;Desktop;Linux;;
0xc030,0xc028,0xc014,0xc02f,0xc027,0xc013,0xc011;Mobile;Android;;
0xc030,0xc02c,0xc014,0xc00a,0x00a3,0x009f,0x006b;Mobile;Android;Browser;Chrome
0xc030,0xc02c,0xc028,0xc024,0xc014,0xc00a,0x00a5;Desktop;Linux;Application;
0xc030,0xc02c,0xc032,0xc02e,0xc02f,0xc02b,0xc031;Desktop;Linux;Application;
0xcc13,0xc02f,0x009e,0xc013,0xc014,0xc011,0x0033;Desktop;Windows;Browser;Chrome
0xcc14,0xcc13,0xc02b,0xc02f,0x009e,0x009c,0xc00a;Desktop;Windows;Browser;Opera
0xcc14,0xcc13,0xc02b,0xc02f,0x009e,0xc00a,0xc009;Desktop;Windows;Browser;Chrome
0xcc14,0xcc13,0xcc15,0xc014,0xc00a,0x0039,0x0038;Mobile;Android;Browser;Chrome
0xcc14,0xcc13,0xcc15,0xc02f,0xc02b,0x009e,0xc014;Mobile;Android;Browser;Chrome
0x00ff,0xc00a,0xc014,0x0088,0x0087,0x0039,0x0038;Desktop;Linux;Browser;Firefox
0xc00a,0xc014,0x0088,0x0087,0x0039,0x0038,0xc00f;Desktop;Windows;Browser;Chrome
0xc014,0xc00a,0x0039,0x0038,0x0035,0xc012,0xc008;Mobile;Android;;
0xc014,0xc00a,0x0039,0x0038,0xc00f,0xc005,0x0035;Mobile;BlackBerry;Browser;BlackBerry
0xc014,0xc013,0xc00a,0xc009,0x0035,0x002f,0x0038;Desktop;Windows;Browser;MSIE
0xc02b,0xc02f,0xc007,0xc011,0xc009,0xc013,0xc00a;;;Crawler;
0xc02b,0xc02f,0xc00a,0xc009,0xc013,0xc014,0xc012;Mobile;Android;;
0x00ff,0xc00a,0xc014,0x0088,0x0087,0x0038,0xc00f;Desktop;Linux;Browser;Firefox
